from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
06-May-2018 - 00:00,204.81,75.67,15.11,43.55,58.67,0.59,,41.35,07-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-May-2018 - 00:00,234.88,74.13,15.38,45.48,60.89,0.6,,47.97,08-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-May-2018 - 00:00,90.92,23.32,13.56,46.58,59.96,0.6,,45.83,09-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-May-2018 - 00:00,139.63,48.2,15.23,45.79,61.02,0.59,,49.18,10-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-May-2018 - 00:00,174.49,75.33,15.1,46.18,61.27,0.59,,49.6,11-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-May-2018 - 00:00,239.92,108.06,13.41,48.99,62.4,0.59,,53.16,12-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-May-2018 - 00:00,259.62,115.8,13.2,50.84,64.04,0.58,,58.86,13-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-May-2018 - 00:00,177.83,60.39,13.6,47.05,60.65,0.58,,47.22,14-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-May-2018 - 00:00,117.59,35.57,16.23,43.71,59.94,0.58,,43.88,15-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-May-2018 - 00:00,142.1,47.31,15.09,44.4,59.49,0.6,0.0,43.79,16-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-May-2018 - 00:00,186.73,48.32,12.92,30.11,42.84,0.63,0.0,37.12,17-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-May-2018 - 00:00,222.52,61.98,7.47,15.09,22.56,0.65,,46.18,18-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-May-2018 - 00:00,193.08,58.09,7.67,15.18,22.85,0.63,,39.6,19-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-May-2018 - 00:00,227.55,67.7,10.03,18.06,28.09,0.64,,37.95,20-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-May-2018 - 00:00,155.77,49.44,7.56,15.12,22.68,0.65,,37.66,21-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-May-2018 - 00:00,154.18,44.36,7.39,15.17,22.56,0.66,,42.4,22-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-May-2018 - 00:00,179.76,57.49,7.2,14.95,22.15,0.64,,47.87,23-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-May-2018 - 00:00,236.03,81.68,8.09,15.54,23.63,0.64,,47.68,24-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-May-2018 - 00:00,188.44,67.54,7.36,15.07,22.43,0.68,,41.51,25-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-May-2018 - 00:00,167.64,54.15,8.32,15.89,24.21,0.64,,37.26,26-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-May-2018 - 00:00,190.89,76.37,5.49,14.7,20.19,0.84,,29.35,27-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-May-2018 - 00:00,224.66,54.9,3.93,13.48,17.42,1.02,,14.86,28-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-May-2018 - 00:00,196.03,72.14,4.47,13.83,18.27,1.04,,30.37,29-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-May-2018 - 00:00,202.66,50.86,7.64,15.72,21.88,1.13,0.0,64.62,30-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-May-2018 - 00:00,233.11,34.47,5.41,14.31,19.72,1.2,,47.61,31-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
31-May-2018 - 00:00,215.45,51.83,5.9,14.55,20.45,0.85,,37.28,01-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Jun-2018 - 00:00,209.57,48.85,5.63,14.41,20.03,0.56,,51.12,02-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Jun-2018 - 00:00,123.35,27.8,8.74,15.89,24.21,0.64,0.0,55.81,03-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Jun-2018 - 00:00,117.42,38.74,7.33,15.26,22.6,0.67,,55.07,04-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Jun-2018 - 00:00,153.45,44.0,7.35,15.27,22.62,0.64,,58.97,05-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Jun-2018 - 00:00,123.98,38.93,7.44,15.32,22.76,0.61,,51.0,06-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Jun-2018 - 00:00,143.29,46.19,7.14,15.16,22.27,0.67,,45.55,07-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Jun-2018 - 00:00,142.37,52.73,6.99,15.1,22.09,0.61,,53.2,08-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Jun-2018 - 00:00,168.31,53.65,7.19,15.2,22.39,0.61,,57.49,09-Jun-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
